parent,child,type
DH,IC,lineage
IC,HL,lineage
IC,LR,lineage
LR,LUR,lineage
LR,KK,lineage
LR,SL,lineage
LUR,DC,lineage
LUR,SC,lineage
LUR,UC,lineage
LUR,RK,lineage
LUR,KU,lineage
LUR,CH,lineage
LUR,MJ,lineage
LUR,KR,lineage
LUR,PS,lineage
UC,SHB,lineage
UC,VIB,lineage
UC,VAI,lineage
KK,C1,lineage
KK,C2,lineage
KK,C3,lineage
KK,C4,lineage
KK,C5,lineage
KK,C6,lineage
KK,C7,lineage
C1,D11,lineage
C1,E11,lineage
C1,F11,lineage
D11,D12,lineage
D11,D13,lineage
D11,D14,lineage
E11,E12,lineage
E11,E13,lineage
F11,F12,lineage
F11,F13,lineage
F11,F14,lineage
SL,PC,lineage
SL,ML,lineage
SL,MC,lineage
SL,GC,lineage
SL,BT,lineage
PC,KC,lineage
PC,SP,lineage
PC,BI,lineage
SP,VN,lineage
SP,RS,lineage
BI,SUB,lineage
BI,DL,lineage
BI,RJ,lineage
BI,DP,lineage
BI,AN,lineage
BI,MU,lineage
BI,SU,lineage
BI,MNM,lineage
BI,LX,lineage
MC,AS,lineage
MC,AD,lineage
MC,ST,lineage
MC,SS,lineage
AS,ASI,lineage
AS,RI,lineage
AS,AA,lineage
AS,PO,lineage
AS,JY,lineage
AD,ANL,lineage
AD,NI,lineage
ST,RC,lineage
ST,TN,lineage
ST,MY,lineage
SS,JI,lineage
SS,PY,lineage
ASI,ANY,lineage
ASI,SHH,lineage
ASI,JT,lineage
AA,NE,lineage
AA,AR,lineage
VAI,VID,lineage
VAI,RIV,lineage
VV,Sak,lineage
VV,Nhi,lineage
Vk,Ssw,lineage
Vk,Ve,lineage
Ak,Hit,lineage
Ak,Bn,lineage
Ncy,Rud,lineage
C4,Snk,lineage
C4,Piy,lineage
C5,Prj,lineage
C2,VV,lineage
C2,Vk,lineage
C3,Ak,lineage
C3,Ncy,lineage
PB,LUR,marriage
NK,N21,marriage
NK,N22,marriage
NK,NK3,marriage
NK,NK4,marriage
NK,NK5,marriage
NK,NK6,marriage
NK,NK7,marriage
PB2,DC,marriage
SD,SC,marriage
SH,UC,marriage
MN,RK,marriage
KB,KK,marriage
MB,C1,marriage
SK2,C2,marriage
NL,C3,marriage
MNI,C4,marriage
RT,C5,marriage
C6,SN,marriage
C7,HC,marriage
RN,D11,marriage
E11,AW,marriage
F11,NS,marriage
VAI,Swa,marriage
VV,Suj,marriage
Vk,Sti,marriage
Ak,Jyt,marriage
Ncy,Smt,marriage
Prj,Niy,marriage
NP,NP2,lineage
NP2,NK,lineage
NK,N1,lineage
NK,N2,lineage
NK,N3,lineage
N1,N4,lineage
N5,N9,lineage
N5,N10,lineage
N5,N11,lineage
N7,N15,lineage
N7,N17,lineage
N7,N19,lineage
SHB,VP,marriage
VIB,RJ,marriage
VIB,DIV,lineage
VIB,AAR,lineage
SHB,SHR,lineage
SHB,ARS,lineage
NK,PB,lineage
KU,GUL,marriage
DH,T1,lineage
T1,T2,lineage
T2,N22,lineage
KU,KUC1,lineage
KU,KUC2,lineage
KU,KUC3,lineage
KU,KUC4,lineage
KU,KUC5,lineage
KU,KUC6,lineage
KU,KUC7,lineage
KUC1,KUC1S,marriage
KUC2,KUC2S,marriage
KUC3,KUC3S,marriage
KUC4,KUC4S,marriage
KUC5,KUC5S,marriage
KUC6,KUC6S,marriage
KUC7,KUC7S,marriage
KUC1,KUC1K1,lineage
KUC1,KUC1K2,lineage
KUC1,KUC1K3,lineage
CH,VIM,marriage
MJ,CSJ,marriage
KR,PKJ,marriage
PS,SAT,marriage
C8,C8S,marriage
C9,C9S,marriage
C10,C10S,marriage
C11,C11S,marriage
C12,C12S,marriage
C13,C13S,marriage
C14,C14S,marriage
C15,C15S,marriage
C16,C16S,marriage
C18,C18S,marriage
C19,C19S,marriage
C20,C20S,marriage
N9,N12,marriage
N10,N13,marriage
N11,N14,marriage
N15,N16,marriage
N17,N18,marriage
N19,N20,marriage
N22,N5,lineage
N22,N6,lineage
N22,N7,lineage
N22,N8,lineage
KR,C18,lineage
KR,C19,lineage
KR,C20,lineage
MJ,C12,lineage
MJ,C13,lineage
MJ,C14,lineage
MJ,C15,lineage
MJ,C16,lineage
CH,C8,lineage
CH,C9,lineage
CH,C10,lineage
CH,C11,lineage
KUC2,KUC2K1,lineage
KUC2,KUC2K2,lineage
KUC2,KUC2K3,lineage
KUC2,KUC2K4,lineage
KUC3,KUC3K1,lineage
KUC3,KUC3K2,lineage
KUC5,KUC5K1,lineage
KUC5,KUC5K2,lineage
KUC5,KUC5K3,lineage
C6,C6K1,lineage
C6,C6K2,lineage
C6,C6K3,lineage
C6K2,C6K2S,marriage
C6K3,C6K3S,marriage
C6K2K3,C6K2K3S,marriage
C6K2,C6K2K1,lineage
C6K2,C6K2K2,lineage
C6K2,C6K2K3,lineage
C7,C7K1,lineage
C7,C7K2,lineage
C7,C7K3,lineage
C7,C7K4,lineage
C7,C7K5,lineage
C7K1,C7K1S,marriage
C7K2,C7K2S,marriage
C7K3,C7K3S,marriage
C7K4,C7K4S,marriage
C7K5,C7K5S,marriage
C7K1,C7K1K1,lineage
C7K1,C7K1K1,lineage
C7K1,C7K1K2,lineage
C7K2,C7K2K1,lineage
C7K3,C7K3K1,lineage
C7K3,C7K3K2,lineage
C7K4,C7K4K1,lineage
C7K5,C7K5K1,lineage
C7K5,C7K5K2,lineage
DC,DCK1,lineage
DC,DCK2,lineage
DC,DCK3,lineage
DC,DCK4,lineage
DC,DCK5,lineage
DC,DCK6,lineage
DC,DCK7,lineage
DCK1,DCK1K1,lineage
DCK1,DCK1K2,lineage
DCK1,DCK1K3,lineage
DCK1,DCK1K4,lineage
DCK1,DCK1K5,lineage
DCK1,DCK1S,marriage
DCK2,DCK2S,marriage
DCK3,DCK3S,marriage
DCK4,DCK4S,marriage
DCK5,DCK5S,marriage
DCK6,DCK6S,marriage
DCK7,DCK7S,marriage
DCK1K1,DCK1K1S,marriage
DCK1K2,DCK1K2S,marriage
DCK1K3,DCK1K3S,marriage
DCK1K4,DCK1K4S,marriage
DCK1K1,DCK1K1K1,lineage
DCK1K2,DCK1K2K1,lineage
DCK1K3,DCK1K3K1,lineage
DCK7,DCK7K1,lineage
DCK7,DCK7K2,lineage
SC,SCK1,lineage
SC,SCK2,lineage
SC,SCK3,lineage
SC,SCK4,lineage
SCK1,SCK1S,marriage
SCK2,SCK2S,marriage
SCK3,SCK3S,marriage
SCK4,SCK4S,marriage
SCK1,SCK1K1,lineage
SCK1,SCK1K2,lineage
SCK2,SCK2K1,lineage
SCK2,SCK2K2,lineage
SCK3,SCK3K1,lineage
SCK3,SCK3K2,lineage
SCK4,SCK4K1,lineage
RK,RKK1,lineage
RK,RKK2,lineage
RK,RKK3,lineage
RKK1,RKK1S,marriage
RKK2,RKK2S,marriage
RKK3,RKK3S,marriage
RKK1,RKK1K1,lineage
RKK2,RKK2K1,lineage
C18,C18K1,lineage
C18,C18K2,lineage
C18,C19K1,lineage
C18,C20K1,lineage
C7K1,C7K1K2,lineage
C7K2,C7K2K1,lineage
C7K3,C7K3K1,lineage
C7K3,C7K3K1,lineage
C7K4,C7K4K1,lineage
C7K5,C7K5K1,lineage
C7K5,C7K5K2,lineage
C12,C12K1,lineage
C12,C12K2,lineage
C16,C16K1,lineage
C13,C13K1,lineage
C13,C13K2,lineage
C14,C14K1,lineage
C14,C14K2,lineage
